#,Country (or dependency),Population 2025,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop %,World Share
 179 , Guadeloupe ," 373,791 ", −0.35% ," −1,315 ", 221 ," 1,690 "," −1,587 ", 2.05 , 47.2 , , 0.0045% 
 180 , Martinique ," 340,439 ", −0.8% ," −2,756 ", 321 ," 1,060 "," −2,491 ", 1.97 , 49.7 , , 0.0041% 
 181 , Mayotte ," 337,011 ", 3.22% ," 10,506 ", 899 , 375 , 44 , 4.5 , 17.1 , 41.4% , 0.0041% 
 182 , Vanuatu ," 335,169 ", 2.26% ," 7,392 ", 27 ," 12,190 ", −52 , 3.53 , 20.3 , 25.4% , 0.0041% 
 183 , French Guiana ," 313,666 ", 1.67% ," 5,144 ", 4 ," 82,200 ", −909 , 3.29 , 25 , 94.5% , 0.0038% 
 184 , New Caledonia ," 295,333 ", 0.92% ," 2,694 ", 16 ," 18,280 ", 440 , 1.95 , 34.5 , 75.7% , 0.0036% 
 185 , Barbados ," 282,623 ", 0.06% , 156 , 657 , 430 , −87 , 1.71 , 39.4 , 32.5% , 0.0034% 
 186 , French Polynesia ," 282,465 ", 0.23% , 658 , 77 ," 3,660 "," −1,199 ", 1.48 , 36.1 , 65.9% , 0.0034% 
 187 , Sao Tome & Principe ," 240,254 ", 2% ," 4,718 ", 250 , 960 , −650 , 3.53 , 19.5 , 78.2% , 0.0029% 
 188 , Samoa ," 219,306 ", 0.59% ," 1,287 ", 77 ," 2,830 "," −2,815 ", 3.75 , 19.8 , 16.3% , 0.0027% 
 189 , Curaçao ," 185,487 ", 0% , 5 , 418 , 444 , 470 , 1.07 , 38.7 , 80.8% , 0.0023% 
 190 , Saint Lucia ," 180,149 ", 0.23% , 405 , 295 , 610 , −23 , 1.38 , 34.6 , 19.9% , 0.0022% 
 191 , Guam ," 168,999 ", 0.73% ," 1,222 ", 313 , 540 , −493 , 2.71 , 31.5 , 98.8% , 0.0021% 
 192 , Kiribati ," 136,488 ", 1.46% ," 1,970 ", 169 , 810 , −462 , 3.09 , 22.9 , 57.3% , 0.0017% 
 193 , Seychelles ," 132,779 ", 1.81% ," 2,361 ", 289 , 460 ," 1,590 ", 2.08 , 34.3 , 43.8% , 0.0016% 
 194 , Grenada ," 117,303 ", 0.08% , 96 , 345 , 340 , −185 , 1.46 , 34.4 , 35.5% , 0.0014% 
 195 , Micronesia ," 113,683 ", 0.46% , 523 , 162 , 700 ," −1,125 ", 2.71 , 23.3 , 23.5% , 0.0014% 
 196 , Aruba ," 108,147 ", 0.07% , 81 , 601 , 180 , 111 , 1.6 , 41.5 , 44.7% , 0.0013% 
 197 , Tonga ," 103,742 ", −0.42% , −433 , 144 , 720 ," −2,150 ", 3.07 , 20.8 , 26% , 0.0013% 
 198 , St. Vincent & Grenadines ," 99,924 ", −0.69% , −692 , 256 , 390 , −714 , 1.75 , 34.4 , 61.6% , 0.0012% 
 199 , Antigua and Barbuda ," 94,209 ", 0.47% , 437 , 214 , 440 , 12 , 1.58 , 36.3 , 28.5% , 0.0011% 
 200 , U.S. Virgin Islands ," 84,138 ", −0.9% , −767 , 240 , 350 , −357 , 2.07 , 44.8 , , 0.0010% 
 201 , Isle of Man ," 84,118 ", −0.05% , −42 , 148 , 570 , 166 , 1.53 , 46.1 , 56.7% , 0.0010% 
 202 , Andorra ," 82,904 ", 1.18% , 966 , 176 , 470 , 843 , 1.1 , 43.9 , 82.3% , 0.0010% 
 203 , Cayman Islands ," 75,844 ", 1.86% ," 1,387 ", 316 , 240 , 888 , 1.51 , 38.7 , 89.1% , 0.00092% 
 204 , Dominica ," 65,871 ", −0.5% , −334 , 88 , 750 , −242 , 1.47 , 36.3 , 84.5% , 0.00080% 
 205 , Bermuda ," 64,555 ", −0.13% , −81 ," 1,291 ", 50 , −2 , 1.41 , 46 , 93% , 0.00078% 
 206 , Faeroe Islands ," 56,002 ", 1.09% , 602 , 40 ," 1,396 ", 386 , 2.2 , 37.1 , 39.5% , 0.00068% 
 207 , Greenland ," 55,745 ", −0.17% , −95 , 0 ," 410,450 ", −265 , 1.91 , 35.1 , 90.7% , 0.00068% 
 208 , Saint Kitts & Nevis ," 46,922 ", 0.17% , 79 , 180 , 260 , 18 , 1.51 , 36.2 , 39.4% , 0.00057% 
 209 , Turks and Caicos ," 46,855 ", 0.69% , 320 , 49 , 950 , 177 , 1.44 , 39.2 , 79.4% , 0.00057% 
 210 , American Samoa ," 46,029 ", −1.57% , −736 , 230 , 200 ," −1,051 ", 2.25 , 29 , , 0.00056% 
 211 , Sint Maarten ," 43,923 ", 1.32% , 573 ," 1,292 ", 34 , 530 , 1.43 , 41.8 , 99.8% , 0.00053% 
 212 , Northern Mariana Islands ," 43,541 ", −1.66% , −737 , 95 , 460 , −963 , 2.28 , 38 , , 0.00053% 
 213 , Liechtenstein ," 40,128 ", 0.65% , 258 , 251 , 160 , 194 , 1.54 , 44.5 , 14.7% , 0.00049% 
 214 , Gibraltar ," 40,126 ", 2.03% , 797 ," 4,013 ", 10 , 549 , 1.88 , 38.8 , 88.5% , 0.00049% 
 215 , British Virgin Islands ," 39,732 ", 0.66% , 261 , 265 , 150 , 153 , 1.06 , 38.6 , 43.4% , 0.00048% 
 216 , Monaco ," 38,341 ", −0.75% , −290 ," 25,732 ", 1 , 100 , 2.09 , 53.6 , , 0.00047% 
 217 , Marshall Islands ," 36,282 ", −3.37% ," −1,266 ", 202 , 180 ," −1,698 ", 2.82 , 20.4 , , 0.00044% 
 218 , San Marino ," 33,572 ", −0.03% , −9 , 560 , 60 , 122 , 1.16 , 48.6 , , 0.00041% 
 219 , Caribbean Netherlands ," 31,338 ", 2.16% , 663 , 96 , 328 , 600 , 1.45 , 39.6 , 65.6% , 0.00038% 
 220 , Palau ," 17,663 ", −0.18% , −32 , 38 , 460 , −16 , 1.86 , 38.5 , , 0.00021% 
 221 , Anguilla ," 14,728 ", 0.89% , 130 , 164 , 90 , 70 , 1.35 , 38.7 , , 0.00018% 
 222 , Cook Islands ," 13,263 ", −3.39% , −466 , 55 , 240 , −460 , 2 , 37.1 , , 0.00016% 
 223 , Nauru ," 12,025 ", 0.65% , 78 , 601 , 20 , −122 , 3.25 , 20.2 , 94.2% , 0.00015% 
 224 , Saint Barthelemy ," 11,414 ", 1.39% , 156 , 544 , 21 , 158 , 0.83 , 39 , , 0.00014% 
 225 , Wallis & Futuna ," 11,194 ", −0.74% , −83 , 80 , 140 , −83 , 1.4 , 38.2 , , 0.00014% 
 226 , Tuvalu ," 9,492 ", −1.6% , −154 , 316 , 30 , −255 , 3.14 , 24.2 , 86% , 0.00012% 
 227 , Saint Pierre & Miquelon ," 5,574 ", −0.96% , −54 , 24 , 230 , −8 , 1.28 , 47.2 , , 0.000068% 
 228 , Saint Helena ," 5,197 ", −0.76% , −40 , 13 , 390 , 1 , 1.64 , 50.9 , 33.4% , 0.000063% 
 229 , Montserrat ," 4,359 ", −0.68% , −30 , 44 , 100 , −9 , 1.45 , 41.6 , 11.5% , 0.000053% 
 230 , Falkland Islands ," 3,469 ", −0.03% , −1 , 0 ," 12,170 ", −17 , 1.7 , 42.8 , 68% , 0.000042% 
 231 , Tokelau ," 2,608 ", 4.07% , 102 , 261 , 10 , 53 , 2.57 , 27.3 , , 0.000032% 
 232 , Niue ," 1,821 ", 0.11% , 2 , 7 , 260 , 3 , 2.46 , 35.7 , 44.5% , 0.000022% 
 233 , Holy See , 501 , 1.01% , 5 ," 1,253 ", 0 , 13 , 1 , 57.4 , , 0.0000061% 
